Density,Porosity,Vp(sonic wave),Point load strength,UCS,Elastic Modulus,Brazilian strength
2.81,0.97,5.22,5.3,129.2,70.63,8.17
2.31,7.32,3.09,5.91,91.93,20.69,30.5
2.69,1.46,3.691,7.9,120.7,19.46,14.47
2.168,4.118,4.566,2.63,65.2,41.32,10.5
2.638,4.096,4.759,3.743,74.86,50.22,5.52
2.59,1.91,5.41,,125.6,55.4,
2.32,19.3,2.24,5.7,95.4,9.02,
2.65,7.96,3.22,1.34,30.05,23.5,6.78
